case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
3047,2,PC-29,Automovel,152000,3,0,101,2018-02-23 05:49:18,2018-02-26 09:16:00,Maquinacao,User 46
3047,2,PC-29,Automovel,152000,3,0,101,2018-02-27 12:11:02,2018-02-27 13:00:12,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,101,2018-02-27 17:43:16,2018-03-03 02:23:41,Erosao,No User
3047,2,PC-29,Automovel,152000,3,0,101,2018-03-01 09:49:05,2018-03-05 03:39:39,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,101,2018-03-05 09:32:12,2018-03-05 11:34:25,Fresagem,User 71
3047,2,PC-29,Automovel,152000,3,0,200,2018-02-24 10:47:06,2018-02-25 22:34:05,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,200,2018-02-26 16:23:12,2018-02-28 07:04:03,Fresagem,User 72
3047,2,PC-29,Automovel,152000,3,0,200,2018-02-28 23:15:06,2018-03-01 14:57:03,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-01 00:26:48,2018-03-03 00:13:04,Maquinacao,User 46
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-02 07:29:35,2018-03-02 10:13:51,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-03 08:32:58,2018-03-05 16:56:39,Maquinacao,User 117
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-08 00:17:00,2018-03-15 19:41:41,Erosao,No User
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-12 10:24:49,2018-03-12 10:45:14,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-12 10:38:37,2018-03-20 09:30:19,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-12 13:43:21,2018-03-20 22:04:10,Maquinacao,User 124
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-13 13:45:30,2018-03-22 01:14:51,Erosao,User 39
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-13 18:50:37,2018-03-22 23:55:18,Maquinacao,User 124
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-14 08:05:22,2018-03-23 14:37:49,Erosao,User 39
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-14 12:31:17,2018-03-24 01:36:15,Maquinacao,User 108
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-14 23:14:01,2018-03-15 00:44:47,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-19 21:53:17,2018-03-19 23:03:18,Maquinacao,User 36
3047,2,PC-29,Automovel,152000,3,0,200,2018-03-22 16:26:09,2018-04-01 07:37:55,Bancada,User 106
3047,2,PC-29,Automovel,152000,3,0,200,2018-07-10 00:23:26,2018-07-19 16:27:50,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,200,2018-07-16 09:28:13,2018-07-16 09:55:53,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,200,2019-11-05 22:37:56,2019-11-16 14:09:09,Maquinacao,User 10
3047,2,PC-29,Automovel,152000,3,0,102,2018-02-27 13:00:12,2018-02-27 13:49:27,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,102,2018-04-02 13:31:03,2018-04-02 16:07:26,Bancada,User 106
3047,2,PC-29,Automovel,152000,3,0,103,2018-02-27 13:49:27,2018-02-27 14:38:27,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,103,2018-03-26 10:35:49,2018-03-26 14:40:46,Bancada,User 106
3047,2,PC-29,Automovel,152000,3,0,80,2018-02-27 20:19:53,2018-02-28 14:55:00,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,80,2018-03-02 13:20:49,2018-03-04 14:58:19,Maquinacao,User 124
3047,2,PC-29,Automovel,152000,3,0,80,2018-03-16 02:47:00,2018-03-16 02:49:00,Fio,No User
3047,2,PC-29,Automovel,152000,3,0,80,2018-03-19 07:53:53,2018-03-22 04:31:08,Erosao,User 39
3047,2,PC-29,Automovel,152000,3,0,80,2018-03-23 00:44:52,2018-03-23 03:01:28,Maquinacao,User 124
3047,2,PC-29,Automovel,152000,3,0,80,2018-03-27 11:07:01,2018-03-30 17:47:35,Polimento,User 13
3047,2,PC-29,Automovel,152000,3,0,80,2018-04-10 08:51:32,2018-04-10 12:30:49,Bancada,User 106
3047,2,PC-29,Automovel,152000,3,0,80,2018-05-16 12:23:39,2018-05-16 15:20:24,Maquinacao de Eletrodos,User 42
3047,2,PC-29,Automovel,152000,3,0,80,2018-05-16 14:05:24,2018-05-20 12:30:02,Erosao,User 39
